Date,VIXSI
2008-01-03,-0.014539186922889788
2008-01-04,-0.039468941289193114
2008-01-07,-0.015717912834327982
2008-01-08,-0.032042193705657813
2008-01-09,-0.004564659896861887
2008-01-10,-0.008102156290417434
2008-01-11,-0.022868507826231576
2008-01-14,-0.006249674702544094
2008-01-15,-0.036600528388281726
2008-01-16,-0.02385009596658703
2008-01-17,-0.04370371465982799
2008-01-18,-0.027255020181659432
2008-01-22,-0.029528125522903296
2008-01-23,0.0058833026539693994
2008-01-24,-0.008920808529705563
2008-01-25,-0.03262060427618605
2008-01-28,-0.0008260278039661263
2008-01-29,-0.012120857974516622
2008-01-30,-0.02462031064191399
2008-01-31,0.0018593141647910115
2008-02-01,0.0010754868466181216
2008-02-04,-0.028852966677036053
2008-02-05,-0.044424069261295863
2008-02-06,-0.026158152886575695
2008-02-07,-0.010673523175288739
2008-02-08,-0.023927405960212776
2008-02-11,-0.012139963127467873
2008-02-12,-0.007185180844547636
2008-02-13,-0.005327097276298699
2008-02-14,-0.02476206786126243
2008-02-15,-0.015859433997008912
2008-02-19,-0.013181815179511468
2008-02-20,-0.012298451031696632
2008-02-21,-0.024013750510067
2008-02-22,-0.00887975894066357
2008-02-25,-0.0017849407002517824
2008-02-26,-0.006187326707160344
2008-02-27,-0.015193099054737513
2008-02-28,-0.024473332556146064
2008-02-29,-0.038871331227399386
2008-03-03,-0.01881632688786032
2008-03-04,-0.019770183857907096
2008-03-05,-0.009058763655258196
2008-03-06,-0.03791668148581619
2008-03-07,-0.02748180586087384
2008-03-10,-0.031545805507058926
2008-03-11,0.019462547302246093
2008-03-12,-0.02636397344782388
2008-03-13,-0.014848628124081921
2008-03-14,-0.034970581983708435
2008-03-17,-0.03025722697624478
2008-03-18,0.025424520700396122
2008-03-19,-0.043419867921807076
2008-03-20,-0.00313232550977963
2008-03-24,0.003906631517549421
2008-03-25,-0.015109998964889612
2008-03-26,-0.028535884865861165
2008-03-27,-0.019328138954217314
2008-03-28,-0.025633475170653015
2008-03-31,-0.01250836631880035
2008-04-01,0.0209845008074398
2008-04-02,-0.013984967250331194
2008-04-03,-0.012019077917328121
2008-04-04,-0.015125776920451233
2008-04-07,-0.013501087055274627
2008-04-08,-0.014997192136621451
2008-04-09,-0.021492073669775586
2008-04-10,-0.012338674426075169
2008-04-11,-0.034071404785277044
2008-04-14,-0.018261410369747
2008-04-15,-0.011905349413852288
2008-04-16,0.014262718810714068
2008-04-17,-0.011269818742845192
2008-04-18,-0.0021471550286427197
2008-04-21,-0.012306958937184804
2008-04-22,-0.01744649752499326
2008-04-23,-0.01425740529608377
2008-04-24,-0.008180789688016396
2008-04-25,-0.002989855419837371
2008-04-28,-0.012060108658750384
2008-04-29,-0.016589003169449043
2008-04-30,-0.018889690415625326
2008-05-01,0.008885670450611761
2008-05-02,-0.00859889897798987
2008-05-05,-0.016617762302584528
2008-05-06,-0.002718313939328327
2008-05-07,-0.030141870797622927
2008-05-08,-0.014705279286577264
2008-05-09,-0.013999673005973734
2008-05-12,0.00011244371096739633
2008-05-13,-0.01109518864514908
2008-05-14,-0.008973088217972628
2008-05-15,0.0023151249949799266
2008-05-16,-0.009381626621811802
2008-05-19,-0.007897481885396003
2008-05-20,-0.01909657815827525
2008-05-21,-0.028533218393402213
2008-05-22,-0.011137948835768076
2008-05-23,-0.02562277210805277
2008-05-27,-0.0048643321019359136
2008-05-28,-0.007303147813407716
2008-05-29,-0.006312396008287608
2008-05-30,-0.008643706355776182
2008-06-02,-0.02272515104938349
2008-06-03,-0.018481516013799146
2008-06-04,-0.013506857856755827
2008-06-05,0.008353311975030041
2008-06-06,-0.046618773867783014
2008-06-09,-0.012028679464200094
2008-06-10,-0.019464756083607433
2008-06-11,-0.029787373366076897
2008-06-12,-0.010773615955452271
2008-06-13,-0.000618416366466628
2008-06-16,-0.012506149781713178
2008-06-17,-0.018050912354572922
2008-06-18,-0.023636720760577056
2008-06-19,-0.012221219364269276
2008-06-20,-0.03542153193038867
2008-06-23,-0.015138028809922344
2008-06-24,-0.015990396684214744
2008-06-25,-0.008486566958650856
2008-06-26,-0.04211657108720755
2008-06-27,-0.020108917682029007
2008-06-30,-0.011440133038241375
2008-07-01,-0.011655749563215983
2008-07-02,-0.0333366606954608
2008-07-03,-0.014457247987375431
2008-07-07,-0.026325475969184865
2008-07-08,0.003288419333865358
2008-07-09,-0.03502367732608842
2008-07-10,-0.011906867071977655
2008-07-11,-0.02883333827121731
2008-07-14,-0.026843888201520536
2008-07-15,-0.03193465946827003
2008-07-16,0.008859993547367332
2008-07-17,-0.005628040455024887
2008-07-18,-0.00880116623479135
2008-07-21,-0.013850608207406703
2008-07-22,-0.0018927935619804433
2008-07-23,-0.00790617676189914
2008-07-24,-0.03540365618707404
2008-07-25,-0.014557764953523358
2008-07-28,-0.029807472363403698
2008-07-29,0.007583557906990546
2008-07-30,0.004561299049793686
2008-07-31,-0.027563960805176098
2008-08-01,-0.019388897126717562
2008-08-04,-0.023955233404646226
2008-08-05,0.01374967978925806
2008-08-06,-0.008203175837928739
2008-08-07,-0.028110478983803238
2008-08-08,0.005668658596772059
2008-08-11,-0.0022170222663795425
2008-08-12,-0.023635966905580397
2008-08-13,-0.019498890555183106
2008-08-14,-0.005168081438938356
2008-08-15,-0.0073740993388784655
2008-08-18,-0.02678691627943107
2008-08-19,-0.0242042883996679
2008-08-20,-0.00811643360772603
2008-08-21,-0.010663082051422093
2008-08-22,0.002719421699594528
2008-08-25,-0.03339161306664291
2008-08-26,-0.009893301058644681
2008-08-27,-0.0026160689152844793
2008-08-28,-1.5961188355655825e-05
2008-08-29,-0.023659833977109277
2008-09-02,-0.019955377033494516
2008-09-03,-0.01425319711774121
2008-09-04,-0.04512508884650267
2008-09-05,-0.011268104008011752
2008-09-08,0.00650584134470864
2008-09-09,-0.04560610059443444
2008-09-10,-0.01126721749883842
2008-09-11,-0.0007755884653939567
2008-09-12,-0.011416400456075192
2008-09-15,-0.06739756015057566
2008-09-16,-0.0022000343093658004
2008-09-17,-0.06760062879224181
2008-09-18,0.008984047702345767
2008-09-19,0.013686599670634143
2008-09-22,-0.043795671587473384
2008-09-23,-0.04507658399912599
2008-09-24,-0.01878837382633309
2008-09-25,-0.004873042939015547
2008-09-26,-0.021215791403052835
2008-09-29,-0.10756161714914932
2008-09-30,0.016771093477466862
2008-10-01,-0.024277753176494325
2008-10-02,-0.06456183268379509
2008-10-03,-0.041712742415402945
2008-10-06,-0.08346468530086189
2008-10-07,-0.0783361192390131
2008-10-08,-0.061148658252544466
2008-10-09,-0.10978904140298075
2008-10-10,-0.06797450357517482
2008-10-13,0.110828971822383
2008-10-14,-0.04925644822636149
2008-10-15,-0.14172894134976405
2008-10-16,-0.0005988393634607098
2008-10-17,-0.0499282846161109
2008-10-20,0.0269731240801611
2008-10-21,-0.063048998039915
2008-10-22,-0.09798567602635093
2008-10-23,-0.030790678663435184
2008-10-24,-0.100170627191277
2008-10-27,-0.08553846279837496
2008-10-28,0.07500533761332998
2008-10-29,-0.050977562244376454
2008-10-30,-0.004718590797251988
2008-10-31,-0.031927627993388434
2008-11-03,-0.030658347046026567
2008-11-04,0.004150863673155997
2008-11-05,-0.07612769796808783
2008-11-06,-0.09521118322195925
2008-11-07,-0.0020446696401236683
2008-11-10,-0.05059215930195588
