,VIXSI,SPY,SPY_ANT,VIX
2024-12-09 12:43:00-05:00,1.0,605.8300170898438,607.2000122070312,-0.0108375001476373
2024-12-09 12:44:00-05:00,1.0,605.9099731445312,607.25,-0.0108567136360127
2024-12-09 12:45:00-05:00,1.0,605.75,607.2349853515625,-0.0110267371464672
2024-12-09 12:46:00-05:00,1.0,605.8099975585938,607.2000122070312,-0.010857970389481
2024-12-09 12:47:00-05:00,1.0,605.80859375,607.405029296875,-0.0112095383247164
2024-12-09 12:48:00-05:00,1.0,605.739990234375,607.2899780273438,-0.0111335526050974
2024-12-09 12:49:00-05:00,1.0,605.8099975585938,607.385009765625,-0.0111681035203503
2024-12-09 12:50:00-05:00,1.0,605.9349975585938,607.3400268554688,-0.0108884146190719
2024-12-09 12:51:00-05:00,1.0,606.0399780273438,607.4199829101562,-0.0108469122215915
2024-12-09 12:52:00-05:00,1.0,605.9600219726562,607.3599853515625,-0.0108612477158042
2024-12-09 12:53:00-05:00,1.0,605.77001953125,607.5499877929688,-0.0114797478355399
2024-12-09 12:54:00-05:00,1.0,605.7301025390625,607.5700073242188,-0.0115845508755802
2024-12-09 12:55:00-05:00,1.0,605.72998046875,607.5150146484375,-0.0115195052474369
2024-12-09 12:56:00-05:00,1.0,605.6995239257812,607.5999755859375,-0.0117153007513472
2024-12-09 12:57:00-05:00,1.0,605.5599975585938,607.5599975585938,-0.0118731059616116
2024-12-09 12:59:00-05:00,1.0,605.4998779296875,607.3599853515625,-0.0116438610819571
2024-12-09 13:00:00-05:00,1.0,605.22998046875,607.3699951171875,-0.0121421618669701
2024-12-09 13:01:00-05:00,1.0,605.1900024414062,607.4299926757812,-0.0122689016823077
2024-12-09 13:02:00-05:00,1.0,605.3300170898438,607.5700073242188,-0.0123368018621262
2024-12-09 13:03:00-05:00,1.0,605.2100219726562,607.6300048828125,-0.0126889086750319
2024-12-09 13:04:00-05:00,1.0,605.1099853515625,607.7100219726562,-0.0129784165590258
2024-12-09 13:05:00-05:00,1.0,605.260009765625,607.7999877929688,-0.0128602201848577
2024-12-09 13:06:00-05:00,1.0,605.4000244140625,607.869873046875,-0.012756870648557
2024-12-09 13:07:00-05:00,1.0,605.3099975585938,608.010009765625,-0.0131344864412833
2024-12-09 13:08:00-05:00,1.0,605.2750244140625,608.0499877929688,-0.0132387092913668
2024-12-09 13:09:00-05:00,1.0,605.2999877929688,608.0599975585938,-0.0132327918325603
2024-12-09 13:10:00-05:00,1.0,605.280029296875,608.1201171875,-0.0133390245236584
2024-12-09 13:11:00-05:00,1.0,605.25,608.2100219726562,-0.0135417760571517
2024-12-09 13:12:00-05:00,1.0,605.3099975585938,608.1699829101562,-0.0133776085336819
2024-12-09 13:13:00-05:00,1.0,605.4400024414062,608.1300048828125,-0.0130984002923842
2024-12-09 13:14:00-05:00,1.0,605.530029296875,608.1599731445312,-0.0129994277226236
2024-12-09 13:15:00-05:00,1.0,605.510009765625,608.22998046875,-0.013153194479009
2024-12-09 13:16:00-05:00,1.0,605.5001220703125,608.3200073242188,-0.013291779359473
2024-12-09 13:17:00-05:00,1.0,605.5700073242188,608.280029296875,-0.0130864710201423
2024-12-09 13:18:00-05:00,1.0,605.52001953125,608.27001953125,-0.013196018481429
2024-12-09 13:19:00-05:00,1.0,605.4500732421875,608.280029296875,-0.0132836402123808
2024-12-09 13:20:00-05:00,1.0,605.489990234375,608.3200073242188,-0.0132834347970971
2024-12-09 13:21:00-05:00,1.0,605.4600219726562,608.3699951171875,-0.0134207292320246
2024-12-09 13:22:00-05:00,1.0,605.47998046875,608.3499755859375,-0.013361421130706
2024-12-09 13:23:00-05:00,1.0,605.5698852539062,608.2999877929688,-0.0131318358028089
2024-12-09 13:24:00-05:00,1.0,605.625,608.27001953125,-0.0129921798852807
2024-12-09 13:25:00-05:00,1.0,605.6300048828125,608.1799926757812,-0.0128365676258309
2024-12-09 13:26:00-05:00,1.0,605.6950073242188,608.159912109375,-0.0126905537052447
2024-12-09 13:27:00-05:00,1.0,605.72998046875,608.2150268554688,-0.0127170523511301
2024-12-09 13:28:00-05:00,1.0,605.7708740234375,608.1400146484375,-0.0125269657363992
2024-12-09 13:29:00-05:00,1.0,605.7349853515625,608.0650024414062,-0.0124506052794333
2024-12-09 13:30:00-05:00,1.0,605.7449951171875,607.9600219726562,-0.0122558758395521
2024-12-09 13:31:00-05:00,1.0,605.752197265625,607.864990234375,-0.0120882602472472
2024-12-09 13:32:00-05:00,1.0,605.760009765625,607.8499755859375,-0.0120507921843467
2024-12-09 13:33:00-05:00,1.0,605.7498779296875,607.7098999023438,-0.0118502592445362
2024-12-09 13:34:00-05:00,1.0,605.7507934570312,607.6798706054688,-0.0117869957201156
2024-12-09 13:35:00-05:00,1.0,605.8350219726562,607.6699829101562,-0.0116384169065539
2024-12-09 13:36:00-05:00,1.0,605.8400268554688,607.8298950195312,-0.0118987253964755
2024-12-09 13:37:00-05:00,1.0,605.9451293945312,607.8400268554688,-0.0117299279040825
2024-12-09 13:38:00-05:00,1.0,606.0599975585938,607.8400268554688,-0.0115409502800574
2024-12-09 13:39:00-05:00,1.0,606.1300048828125,607.8200073242188,-0.0114054323994632
2024-12-09 13:40:00-05:00,1.0,606.1199951171875,607.8699951171875,-0.011466405052161
2024-12-09 13:41:00-05:00,1.0,606.090087890625,607.85009765625,-0.0114579667810554
2024-12-09 13:42:00-05:00,1.0,605.97998046875,607.72998046875,-0.011448318321856
2024-12-09 13:43:00-05:00,1.0,606.0399780273438,607.659912109375,-0.0112346064268423
2024-12-09 13:44:00-05:00,1.0,606.0900268554688,607.6500244140625,-0.0111297632204664
2024-12-09 13:45:00-05:00,1.0,606.0900268554688,607.7501220703125,-0.0113065423799317
2024-12-09 13:46:00-05:00,1.0,606.1199951171875,607.780029296875,-0.0113063075449483
2024-12-09 13:47:00-05:00,1.0,606.2125244140625,607.9000244140625,-0.0113384498802891
2024-12-09 13:48:00-05:00,1.0,606.280029296875,607.8200073242188,-0.0111023586485917
2024-12-09 13:49:00-05:00,1.0,606.3800048828125,607.8699951171875,-0.0110136659505216
2024-12-09 13:50:00-05:00,1.0,606.364990234375,607.7999877929688,-0.0109109700352322
2024-12-09 13:51:00-05:00,1.0,606.2301025390625,607.9199829101562,-0.011317274343005
2024-12-09 13:52:00-05:00,1.0,606.2999877929688,607.9400024414062,-0.011253908719366
2024-12-09 13:53:00-05:00,1.0,606.2750244140625,607.97998046875,-0.0113292963739907
2024-12-09 13:54:00-05:00,1.0,606.0999755859375,607.9600219726562,-0.0115907379917982
2024-12-09 13:55:00-05:00,1.0,606.1099853515625,607.9990234375,-0.0116382255264692
2024-12-09 13:57:00-05:00,1.0,606.0100708007812,608.0100708007812,-0.0118206691988726
2024-12-09 13:58:00-05:00,1.0,605.9949951171875,608.010009765625,-0.0118578642679776
2024-12-09 13:59:00-05:00,1.0,606.0634765625,608.0399780273438,-0.0117818610391887
2024-12-09 14:00:00-05:00,1.0,605.8107299804688,608.010009765625,-0.0121859269376034
2024-12-09 14:01:00-05:00,1.0,605.7949829101562,607.9099731445312,-0.0120416175137904
2024-12-09 14:02:00-05:00,1.0,605.6599731445312,607.780029296875,-0.0120506964693647
2024-12-09 14:03:00-05:00,1.0,605.5900268554688,607.739990234375,-0.0121063868405131
2024-12-09 14:04:00-05:00,1.0,605.47998046875,607.719970703125,-0.0122796420923453
2024-12-09 14:05:00-05:00,1.0,605.4600219726562,607.7000122070312,-0.0122547631469141
2024-12-09 14:06:00-05:00,1.0,605.469970703125,607.6950073242188,-0.0122989364019394
2024-12-09 14:07:00-05:00,1.0,605.510009765625,607.635009765625,-0.0121221651827955
2024-12-09 14:08:00-05:00,1.0,605.489990234375,607.5999755859375,-0.0121289054251878
2024-12-09 14:09:00-05:00,1.0,605.577880859375,607.489990234375,-0.0118038070062681
2024-12-09 14:11:00-05:00,1.0,605.5598754882812,607.239990234375,-0.0114230551727707
2024-12-09 14:12:00-05:00,1.0,605.6099853515625,607.369873046875,-0.0115475551363521
2024-12-09 14:13:00-05:00,1.0,605.6199951171875,607.2650146484375,-0.0113276489017461
2024-12-09 14:14:00-05:00,1.0,605.6199951171875,607.302978515625,-0.0113899917985353
2024-12-09 14:16:00-05:00,1.0,605.4099731445312,607.1099853515625,-0.0114126717119622
2024-12-09 14:17:00-05:00,1.0,605.4400024414062,607.27001953125,-0.0116322646326774
2024-12-09 14:19:00-05:00,1.0,605.4349975585938,607.1799926757812,-0.0114926838223209
2024-12-09 14:20:00-05:00,1.0,605.344970703125,607.260009765625,-0.0117660734803928
2024-12-09 14:21:00-05:00,1.0,605.3900146484375,607.2849731445312,-0.0117641277137471
2024-12-09 14:22:00-05:00,1.0,605.3099975585938,607.3499755859375,-0.0120025679951364
2024-12-09 14:23:00-05:00,1.0,605.3200073242188,607.22998046875,-0.0117891367660764
